	GeneID	adjusted_pvalue	fold_change	GroupID	Vs
5	RPL13P12	1.66E-05	2.07815716	kmeans_1	kmeans_0
6	IFT57	1.68E-05	1.488554188	kmeans_1	kmeans_0
48	NAALAD2	1.68E-05	1.615693523	kmeans_0	kmeans_1
49	LGALS3	2.12E-05	1.736184577	kmeans_0	kmeans_1
50	RHPN2	2.23E-05	1.988096293	kmeans_0	kmeans_1
51	SLC44A3	2.27E-05	2.147652498	kmeans_0	kmeans_1
52	SORD2P	2.68E-05	1.860630783	kmeans_0	kmeans_1
53	ATP13A4	3.05E-05	2.243120229	kmeans_0	kmeans_1
54	CTSL	3.05E-05	1.792460559	kmeans_0	kmeans_1
55	C12orf75	3.05E-05	1.820802735	kmeans_0	kmeans_1
7	ETV1	3.32E-05	2.886386712	kmeans_1	kmeans_0
56	CDH17	4.18E-05	2.147411995	kmeans_0	kmeans_1
57	LINC01330	4.47E-05	2.193165863	kmeans_0	kmeans_1
58	PDP1	4.47E-05	2.147650187	kmeans_0	kmeans_1
8	SFTA3	6.04E-05	2.491694347	kmeans_1	kmeans_0
9	RAET1K	6.68E-05	1.823059349	kmeans_1	kmeans_0
59	DVL3	7.75E-05	1.885686159	kmeans_0	kmeans_1
10	LMO7	8.26E-05	1.662853099	kmeans_1	kmeans_0
60	UNC13C	9.80E-05	2.009942236	kmeans_0	kmeans_1
61	ASS1	9.80E-05	2.337601153	kmeans_0	kmeans_1
11	NR2F2	0.000120178	1.311699024	kmeans_1	kmeans_0
62	EXTL3	0.000127089	1.300914758	kmeans_0	kmeans_1
63	TLE4	0.000139495	1.790712229	kmeans_0	kmeans_1
64	TMEM144	0.00014114	1.492747912	kmeans_0	kmeans_1
66	ZNF761	0.000150953	1.508805947	kmeans_0	kmeans_1
65	KRT7	0.000150953	1.980037086	kmeans_0	kmeans_1
67	FKBP4	0.00016663	1.998834958	kmeans_0	kmeans_1
68	SQSTM1	0.000177469	1.635466269	kmeans_0	kmeans_1
12	ULBP1	0.000184608	1.847890756	kmeans_1	kmeans_0
69	APOE	0.000185554	1.404142808	kmeans_0	kmeans_1
70	LAMB1	0.000189042	1.326922255	kmeans_0	kmeans_1
71	SPAG1	0.000221139	2.020760039	kmeans_0	kmeans_1
72	AKAP10	0.000223323	1.891688834	kmeans_0	kmeans_1
73	LRAT	0.000244878	1.855272349	kmeans_0	kmeans_1
74	DUSP5	0.000288533	1.991060549	kmeans_0	kmeans_1
13	HMGA2	0.000295243	1.35306673	kmeans_1	kmeans_0
75	AGBL3	0.000300794	1.754602705	kmeans_0	kmeans_1
76	IFRD1	0.000303066	1.64763478	kmeans_0	kmeans_1
77	PAQR8	0.000303739	1.967679397	kmeans_0	kmeans_1
78	PELI2	0.000303929	2.235780946	kmeans_0	kmeans_1
79	MPC2	0.00030699	1.461771509	kmeans_0	kmeans_1
14	GRM8	0.000340785	2.820791959	kmeans_1	kmeans_0
80	TMEM229A	0.000347727	1.874445702	kmeans_0	kmeans_1
81	SLC2A14	0.000369631	1.665147415	kmeans_0	kmeans_1
82	SORD	0.000369631	1.758423762	kmeans_0	kmeans_1
83	APPL2	0.000389873	1.659851502	kmeans_0	kmeans_1
84	USP6	0.000437915	2.002892955	kmeans_0	kmeans_1
15	NMU	0.00044526	2.531087441	kmeans_1	kmeans_0
16	TGFB3	0.000459737	2.975536631	kmeans_1	kmeans_0
85	TRAM1	0.000459737	1.503425169	kmeans_0	kmeans_1
86	HAS2	0.00046005	1.687368578	kmeans_0	kmeans_1
87	PDE8A	0.000472149	1.941963328	kmeans_0	kmeans_1
88	APLF	0.000511681	2.070344236	kmeans_0	kmeans_1
89	PKIA	0.000511681	2.009990804	kmeans_0	kmeans_1
90	CDKN1A	0.000530351	1.961869843	kmeans_0	kmeans_1
91	WASF3	0.000535574	1.46180153	kmeans_0	kmeans_1
92	PGLS	0.00053817	1.793810699	kmeans_0	kmeans_1
93	COMMD8	0.00053817	1.755902148	kmeans_0	kmeans_1
94	ASAH1	0.00057414	1.393955288	kmeans_0	kmeans_1
95	STX3	0.000581932	1.634131638	kmeans_0	kmeans_1
96	CAMK2N1	0.000608329	2.044813659	kmeans_0	kmeans_1
97	TALDO1	0.000637216	1.425073163	kmeans_0	kmeans_1
98	IL6ST	0.000641336	1.470116496	kmeans_0	kmeans_1
99	GID4	0.000687996	1.607971606	kmeans_0	kmeans_1
100	ZNF765	0.000691072	1.330962998	kmeans_0	kmeans_1
101	PLPP3	0.000697774	1.681946652	kmeans_0	kmeans_1
102	SPCS3	0.000727516	1.38776367	kmeans_0	kmeans_1
103	PXDC1	0.000733411	1.852451435	kmeans_0	kmeans_1
104	APOB	0.000749694	2.047763703	kmeans_0	kmeans_1
17	UBE2E3	0.000798824	1.670728756	kmeans_1	kmeans_0
18	SOX9	0.000824899	2.4326698	kmeans_1	kmeans_0
105	LINC00348	0.000922936	1.799552089	kmeans_0	kmeans_1
106	STK38L	0.000966059	1.346701044	kmeans_0	kmeans_1
107	PLTP	0.000974499	1.591098526	kmeans_0	kmeans_1
108	DEGS1	0.000985938	1.549135268	kmeans_0	kmeans_1
109	AEN	0.001101042	1.806858902	kmeans_0	kmeans_1
110	ANKMY2	0.001204862	1.825532394	kmeans_0	kmeans_1
19	ADGRG6	0.001280353	1.551063233	kmeans_1	kmeans_0
111	LINC01057	0.001372611	1.680716279	kmeans_0	kmeans_1
112	PSEN1	0.001385424	1.833567979	kmeans_0	kmeans_1
113	KIAA1522	0.001475323	1.667107432	kmeans_0	kmeans_1
114	NPY1R	0.001521381	2.187909864	kmeans_0	kmeans_1
20	NFIB	0.001879179	2.681890582	kmeans_1	kmeans_0
115	ARMCX3	0.001879179	1.677487997	kmeans_0	kmeans_1
116	CPD	0.001879179	1.385414906	kmeans_0	kmeans_1
117	SC5D	0.001927432	1.610949762	kmeans_0	kmeans_1
21	FAM189A2	0.001948691	2.256081715	kmeans_1	kmeans_0
119	TNFRSF19	0.001962041	1.615080793	kmeans_0	kmeans_1
118	BCL2	0.001962041	2.032726466	kmeans_0	kmeans_1
120	RGMB	0.0019931	1.960792996	kmeans_0	kmeans_1
121	BCR	0.002078203	1.706755748	kmeans_0	kmeans_1
122	LHFPL2	0.002078203	1.646928502	kmeans_0	kmeans_1
123	CASP8AP2	0.002178908	1.726861155	kmeans_0	kmeans_1
124	ANXA4	0.002217694	1.475400686	kmeans_0	kmeans_1
125	ARFGAP3	0.002260848	1.666357029	kmeans_0	kmeans_1
126	HABP2	0.002261187	1.964564995	kmeans_0	kmeans_1
127	GRAMD1C	0.002283259	1.820558364	kmeans_0	kmeans_1
128	MBNL3	0.002416197	1.908393967	kmeans_0	kmeans_1
129	SMAD9	0.002438835	1.436108121	kmeans_0	kmeans_1
130	ACOX3	0.002438835	1.881473004	kmeans_0	kmeans_1
131	DERA	0.00244016	1.747242028	kmeans_0	kmeans_1
132	GLOD4	0.002511335	1.308886726	kmeans_0	kmeans_1
22	MECOM	0.00259306	1.391087894	kmeans_1	kmeans_0
133	OLFML3	0.00259306	1.885567276	kmeans_0	kmeans_1
134	AREG	0.002625738	2.049580959	kmeans_0	kmeans_1
23	CDK6	0.002718285	1.389229814	kmeans_1	kmeans_0
135	CRKL	0.00285994	1.694592056	kmeans_0	kmeans_1
24	FABP5P3	0.002891937	1.429077334	kmeans_1	kmeans_0
136	DRAM2	0.002891937	1.35813629	kmeans_0	kmeans_1
137	SLC2A3	0.002957485	1.41034788	kmeans_0	kmeans_1
138	AARS	0.003028535	1.599311697	kmeans_0	kmeans_1
139	IL15	0.003107663	1.798272669	kmeans_0	kmeans_1
140	RCN1	0.003184143	1.446244589	kmeans_0	kmeans_1
141	IWS1	0.003196259	1.523802688	kmeans_0	kmeans_1
142	FLNC	0.003254403	1.941800059	kmeans_0	kmeans_1
143	COL14A1	0.003411034	1.831796401	kmeans_0	kmeans_1
144	TMEM35B	0.00343536	1.575823028	kmeans_0	kmeans_1
145	ETS2	0.003449958	1.835232194	kmeans_0	kmeans_1
146	AFP	0.003476076	1.98936719	kmeans_0	kmeans_1
147	BMPR2	0.003563585	1.599792121	kmeans_0	kmeans_1
148	DTNBP1	0.003563585	1.733937449	kmeans_0	kmeans_1
149	GLUD1	0.003563585	1.558901321	kmeans_0	kmeans_1
150	CAPN13	0.003568938	1.775948803	kmeans_0	kmeans_1
151	HIST1H2BK	0.003568938	1.62023254	kmeans_0	kmeans_1
25	TPPP3	0.003573437	1.475422984	kmeans_1	kmeans_0
152	ACAD11	0.003573437	1.894816254	kmeans_0	kmeans_1
153	SHMT2	0.003699765	1.625430837	kmeans_0	kmeans_1
154	CPSF4	0.003744569	1.687755018	kmeans_0	kmeans_1
155	CNKSR2	0.003795553	1.944542939	kmeans_0	kmeans_1
156	WASL	0.003942774	1.615794445	kmeans_0	kmeans_1
157	GPRIN3	0.004144996	1.387303973	kmeans_0	kmeans_1
158	TMEM254	0.004231384	1.728454732	kmeans_0	kmeans_1
159	LIN52	0.004297502	1.637223506	kmeans_0	kmeans_1
26	GRB14	0.004426541	1.482989117	kmeans_1	kmeans_0
160	MOCS2	0.004522148	1.642327057	kmeans_0	kmeans_1
161	VIM	0.004522148	1.380231765	kmeans_0	kmeans_1
162	MYOF	0.004522148	1.469227504	kmeans_0	kmeans_1
163	TDRD7	0.004537055	1.811800287	kmeans_0	kmeans_1
27	ANKRD29	0.004548874	1.825662278	kmeans_1	kmeans_0
164	PDZK1	0.004548874	1.882905241	kmeans_0	kmeans_1
165	SLC5A3	0.004548874	1.559187524	kmeans_0	kmeans_1
166	ZNF544	0.004548874	1.316491104	kmeans_0	kmeans_1
167	DSC3	0.004548874	1.361551003	kmeans_0	kmeans_1
168	ENC1	0.004548874	1.814805461	kmeans_0	kmeans_1
169	TPP1	0.004587288	1.659739968	kmeans_0	kmeans_1
170	KIAA1462	0.004713049	1.843061765	kmeans_0	kmeans_1
173	IP6K1	0.004779935	1.87796253	kmeans_0	kmeans_1
171	KCNK10	0.004779935	1.676139182	kmeans_0	kmeans_1
172	HK2	0.004779935	1.85667998	kmeans_0	kmeans_1
174	JAK1	0.004826025	1.824326837	kmeans_0	kmeans_1
175	PDGFRA	0.004848076	1.910265138	kmeans_0	kmeans_1
